AMP,Species
Bovine_tracheal_antimicrobial_peptide,Ailuropoda
Human_beta_defensin_3,Ailuropoda
Human_beta_defensin_4,Ailuropoda
TAP_20N,Ailuropoda
DEFB114,Ailuropoda
Defensin_DEFB126,Ailuropoda
saBD,Amphiprion
cod_beta_defensin,Amphiprion
pdBD_2,Amphiprion
ccBD,Amphiprion
Ostrich_AvBD1,Anolis
Duck_AvBD9,Anolis
Duck_AvBD9,Anolis
Duck_AvBD9,Anolis
AvBD10,Anolis
AvBD10,Anolis
AvBD10,Anolis
Human_beta_defensin_3,Balaenoptera
Human_beta_defensin_4,Balaenoptera
DEFB114,Balaenoptera
AvBD10,Chelonoidis
AvBD10,Chelonoidis
Bovine_tracheal_antimicrobial_peptide,Crocodylus
sBD_1_sheep_beta_defensin_1,Crocodylus
Lingual_antimicrobial_peptide,Crocodylus
AvBD10,Crocodylus
TAP_20N,Crocodylus
saBD,Crocodylus
cod_beta_defensin,Danio
pdBD_2,Danio
pdBD_2,Danio
pdBD_2,Danio
ccBD,Danio
Human_beta_defensin_3,Dasypus
Human_beta_defensin_4,Dasypus
DEFB114,Dasypus
Chicken_AvBD6,Gallus
Chicken_AvBD6,Gallus
Chicken_AvBD6,Gallus
Chicken_AvBD4,Gallus
Ostrich_AvBD2,Gallus
Ostrich_AvBD2,Gallus
Ostrich_AvBD1,Gallus
Ostrich_AvBD7,Gallus
Chicken_AVD12,Gallus
Chicken_AVD12,Gallus
Chicken_AVD12,Gallus
Chicken_AvBD7,Gallus
Chicken_AvBD7,Gallus
Chicken_AvBD7,Gallus
Duck_AvBD9,Gallus
AvBD10,Gallus
AvBD10,Gallus
AvBD10,Gallus
AvBD10,Gallus
Apl_AvBD16,Gallus
Pc_CATH1,Gallus
Pc_CATH1,Gallus
Pc_CATH1,Gallus
Pc_CATH1,Gallus
Bovine_tracheal_antimicrobial_peptide,Gorilla
Human_beta_defensin_3,Gorilla
Human_beta_defensin_3,Gorilla
Human_beta_defensin_2,Gorilla
Human_beta_defensin_4,Gorilla
Human_beta_defensin_4,Gorilla
TAP_20N,Gorilla
Defensin_DEFB126,Gorilla
Bovine_tracheal_antimicrobial_peptide,Homo
Bovine_tracheal_antimicrobial_peptide,Homo
Bovine_tracheal_antimicrobial_peptide,Homo
Bovine_tracheal_antimicrobial_peptide,Homo
Bovine_tracheal_antimicrobial_peptide,Homo
Human_beta_defensin_3,Homo
Human_beta_defensin_3,Homo
Human_beta_defensin_3,Homo
Human_beta_defensin_3,Homo
Human_beta_defensin_3,Homo
Human_beta_defensin_2,Homo
Human_beta_defensin_2,Homo
Human_beta_defensin_2,Homo
Human_beta_defensin_2,Homo
Human_beta_defensin_2,Homo
Human_beta_defensin_4,Homo
Human_beta_defensin_4,Homo
Human_beta_defensin_4,Homo
Human_beta_defensin_4,Homo
Human_beta_defensin_4,Homo
TAP_20N,Homo
TAP_20N,Homo
TAP_20N,Homo
TAP_20N,Homo
TAP_20N,Homo
DEFB114,Homo
Defensin_DEFB126,Homo
saBD,Ictalurus
saBD,Ictalurus
cod_beta_defensin,Ictalurus
cod_beta_defensin,Ictalurus
pdBD_2,Ictalurus
pdBD_2,Ictalurus
pdBD_2,Ictalurus
CFBD_1,Ictalurus
ccBD,Ictalurus
ccBD,Ictalurus
saBD,Labrus
cod_beta_defensin,Labrus
pdBD_2,Labrus
ccBD,Labrus
Human_beta_defensin_3,Loxodonta
Defensin_DEFB126,Loxodonta
Human_beta_defensin_3,Lynx
DEFB114,Lynx
FeCath,Lynx
Human_beta_defensin_3,Otolemur
Bovine_tracheal_antimicrobial_peptide,Pan
Human_beta_defensin_3,Pan
Human_beta_defensin_2,Pan
Human_beta_defensin_4,Pan
TAP_20N,Pan
DEFB114,Pan
Defensin_DEFB126,Pan
pdBD_2,Poecilia
Duck_AvBD9,Pogona
AvBD10,Pogona
Human_beta_defensin_3,Rhinolophus
Human_beta_defensin_4,Rhinolophus
DEFB114,Rhinolophus
FeCath,Rhinolophus
pdBD_2,Salmo
pdBD_2,Salmo
saBD,Scleropages
cod_beta_defensin,Scleropages
pdBD_2,Scleropages
pdBD_2,Scleropages
CFBD_1,Scleropages
ccBD,Scleropages
Human_beta_defensin_3,Spermophilus
Human_beta_defensin_4,Spermophilus
FeCath,Spermophilus
FeCath,Spermophilus
Chicken_AvBD4,Struthio
Chicken_AvBD5,Struthio
Ostrich_AvBD2 ,Struthio
Ostrich_AvBD1,Struthio
Ostrich_AvBD1,Struthio
Ostrich_AvBD1,Struthio
Ostrich_AvBD7,Struthio
Ostrich_AvBD8,Struthio
Chicken_AVD12,Struthio
Chicken_AvBD7,Struthio
AvBD10,Struthio
saBD,Takifugu
saBD,Takifugu
saBD,Takifugu
saBD,Takifugu
cod_beta_defensin,Takifugu
cod_beta_defensin,Takifugu
cod_beta_defensin,Takifugu
cod_beta_defensin,Takifugu
pdBD_2,Takifugu
ccBD,Takifugu
ccBD,Takifugu
ccBD,Takifugu
ccBD,Takifugu
DEFB114,Vicugna
Defensin_DEFB126,Vicugna
Human_beta_defensin_3,Vombatus
Human_beta_defensin_4,Vombatus
Human_beta_defensin_3,Zalophus
Human_beta_defensin_4,Zalophus
DEFB114,Zalophus
